rcid,session,vote,ccode,Country,CABB
5312,68,2,221,Monaco,MNC
5312,68,2,220,France,FRN
5312,68,8,860,East Timor,ETM
5312,68,1,935,Vanuatu,VAN
5312,68,8,947,Tuvalu,TUV
5312,68,1,501,Kenya,KEN
5312,68,3,740,Japan,JPN
5312,68,1,150,Paraguay,PAR
5312,68,1,155,Chile,CHL
5312,68,1,600,Morocco,MOR
5312,68,1,551,Zambia,ZAM
5312,68,1,553,Malawi,MAW
5312,68,1,552,Zimbabwe,ZIM
5312,68,2,235,Portugal,POR
5312,68,2,230,Spain,SPN
5312,68,2,232,Andorra,AND
5312,68,1,990,Samoa,WSM
5312,68,1,950,Fiji,FIJ
5312,68,1,42,Dominican Republic,DOM
5312,68,1,40,Cuba,CUB
5312,68,1,41,Haiti,HAI
5312,68,2,325,Italy,ITA
5312,68,1,775,Myanmar,MYA
5312,68,3,200,United Kingdom,UKG
5312,68,1,145,Bolivia,BOL
5312,68,3,205,Ireland,IRE
5312,68,1,770,Pakistan,PAK
5312,68,1,140,Brazil,BRA
5312,68,1,475,Nigeria,NIG
5312,68,1,616,Tunisia,TUN
5312,68,1,615,Algeria,ALG
5312,68,2,70,Mexico,MEX
5312,68,1,484,Congo,CON
5312,68,1,483,Chad,CHA
5312,68,8,482,Central African Republic,CEN
5312,68,1,481,Gabon,GAB
5312,68,1,946,Kiribati,KIR
5312,68,2,732,South Korea,ROK
5312,68,1,835,Brunei Darussalam,BRU
5312,68,1,940,Solomon Islands,SOL
5312,68,2,355,Bulgaria,BUL
5312,68,8,471,Cameroon,CAO
5312,68,2,352,Cyprus,CYP
5312,68,2,350,Greece,GRC
5312,68,1,800,Thailand,THI
5312,68,1,572,Swaziland,SWA
5312,68,2,359,Moldova,MLD
5311,68,1,212,Luxembourg,LUX
5311,68,1,210,Netherlands,NTH
5311,68,1,211,Belgium,BEL
5311,68,8,983,Marshall Islands,MSI
5311,68,3,666,Israel,ISR
5311,68,8,760,Bhutan,BHU
5311,68,1,663,Jordan,JOR
5311,68,1,660,Lebanon,LEB
5311,68,1,130,Ecuador,ECU
5311,68,1,135,Peru,PER
5311,68,1,90,Guatemala,GUA
5311,68,1,571,Botswana,BOT
5311,68,8,490,Democratic Republic of the Congo,DRC
5311,68,1,93,Nicaragua,NIC
5311,68,1,626,South Sudan,SSD
5311,68,1,692,Bahrain,BAH
5311,68,1,690,Kuwait,KUW
5311,68,1,20,Canada,CAN
5311,68,1,694,Qatar,QAT
5311,68,1,160,Argentina,ARG
5311,68,1,698,Oman,OMA
5311,68,1,344,Croatia,CRO
5311,68,1,345,Serbia,YUG
5311,68,1,346,Bosnia and Herzegovina,BOS
5311,68,8,404,Guinea-Bissau,GNB
5311,68,8,403,Sao Tome and Principe,STP
5311,68,1,341,Montenegro,MNG
5311,68,8,343,Macedonia,MAC
5311,68,8,811,Cambodia,CAM
5311,68,1,812,Laos,LAO
5311,68,1,349,Slovenia,SLV
5311,68,1,816,Viet Nam,DRV
5311,68,8,678,Yemen,YEM
5311,68,1,522,Djibouti,DJI
5311,68,8,670,Saudi Arabia,SAU
5311,68,1,712,Mongolia,MON
5311,68,1,710,China,CHN
5311,68,1,260,Germany,GMY
5311,68,8,420,Gambia,GAM
5311,68,8,986,Palau,PAL
5311,68,1,58,Antigua & Barbuda,AAB
5311,68,8,55,Grenada,GRN
5311,68,8,54,Dominica,DMA
5311,68,1,57,St. Vincent and the Grenadines,SVG
5311,68,1,56,St. Lucia,SLU
5311,68,1,51,Jamaica,JAM
5311,68,8,53,Barbados,BAR
5311,68,1,52,Trinidad and Tobago,TRI
5311,68,8,411,Equatorial Guinea,EQG
5311,68,8,531,Eritrea,ERI
5311,68,8,530,Ethiopia (new),ETH
5311,68,1,371,Armenia,ARM
5311,68,8,370,Belarus,BLR
5311,68,8,373,Azerbaijan,AZE
5311,68,1,372,Georgia,GRG
5311,68,1,375,Finland,FIN
5311,68,1,820,Malaysia,MAL
5311,68,1,290,Poland,POL
5311,68,8,591,Seychelles,SEY
5311,68,1,590,Mauritius,MAS
5311,68,8,704,Uzbekistan,UZB
5311,68,8,705,Kazakhstan,KZK
5311,68,1,310,Hungary,HUN
5311,68,1,317,Slovakia,SLO
5311,68,1,316,Czech Republic,CZR
5311,68,8,702,Tajikistan,TAJ
5311,68,1,703,Kyrgyzstan,KYR
5311,68,8,115,Suriname,SUR
